datetime,Open,High,Low,Close,Volume
20110103,357.29,360.56,357.03,359.61,0
20110104,359.69,360.87,358.41,358.54,0
20110105,358.12,358.12,352.56,356.88,0
20110106,358.38,359.59,356.28,356.76,0
20110107,356.73,358.15,354.31,356.35,0
20110110,355.09,355.74,353.63,354.7,0
20110111,355.34,359.3,355.29,358.7,0
20110112,359.08,362.37,359.05,362.0,0
20110113,361.97,362.03,359.09,360.56,0
20110114,359.73,361.55,357.81,361.38,0
20110117,361.96,362.4,360.31,361.03,0
20110118,362.41,363.89,362.06,363.68,0
20110119,364.25,364.41,357.66,357.75,0
20110120,357.36,357.66,354.68,355.89,0
20110121,358.31,363.97,357.64,361.2,0
20110124,361.75,361.75,358.12,360.99,0
20110125,362.4,362.53,358.3,358.66,0
20110126,361.18,363.43,360.1,361.94,0
20110127,361.77,365.08,361.55,364.18,0
20110128,363.7,364.69,361.29,361.54,0
20110131,360.01,361.89,357.27,361.3,0
20110201,363.44,367.46,361.92,366.72,0
20110202,367.54,368.9,365.76,367.01,0
20110203,366.2,366.28,363.06,364.22,0
20110204,366.8,366.88,364.27,365.05,0
20110207,366.28,370.33,366.08,369.36,0
20110208,370.37,371.3,369.4,370.56,0
20110209,370.06,370.68,368.79,369.26,0
20110210,368.19,370.31,366.36,370.31,0
20110211,369.42,370.98,366.83,370.48,0
20110214,371.7,372.1,369.01,370.23,0
20110215,370.1,371.35,369.32,370.5,0
20110216,371.34,372.39,370.56,371.94,0
20110217,371.77,373.15,370.93,372.83,0
20110218,373.64,374.15,372.08,374.01,0
20110221,373.35,374.02,370.2,370.6,0
20110222,368.82,370.22,366.09,369.19,0
20110223,367.35,369.09,364.91,365.68,0
20110224,362.99,364.81,362.99,363.84,0
20110225,364.46,367.61,363.45,366.62,0
20110228,366.85,370.7,365.37,369.06,0
20110301,371.08,372.2,366.87,367.84,0
20110302,364.72,365.97,363.56,365.31,0
20110303,366.38,369.05,365.0,367.34,0
20110304,368.74,370.73,366.67,367.67,0
20110307,366.05,370.23,365.54,366.44,0
20110308,367.48,367.73,362.94,365.95,0
20110309,366.52,368.46,365.65,366.03,0
20110310,363.45,364.54,360.98,361.88,0
20110311,359.0,360.44,358.27,359.17,0
20110314,357.38,359.32,355.54,356.48,0
20110315,349.64,351.41,343.93,349.06,0
20110316,350.45,350.91,343.43,343.94,0
20110317,345.11,350.07,344.55,349.09,0
20110318,351.04,353.26,350.05,350.7,0
20110321,355.29,356.96,354.31,356.29,0
20110322,357.25,357.97,355.36,356.61,0
20110323,355.1,359.31,355.08,359.24,0
20110324,359.42,363.77,358.59,363.77,0
20110325,364.99,365.4,363.46,365.02,0
20110328,364.31,365.82,363.7,364.54,0
20110329,364.68,365.94,362.9,365.92,0
20110330,369.07,369.07,366.89,367.56,0
20110331,368.36,368.74,366.18,367.02,0
20110401,367.53,369.61,366.7,369.41,0
20110404,368.4,370.36,367.72,369.3,0
20110405,369.29,369.86,367.53,369.14,0
20110406,370.18,371.1,368.54,369.85,0
20110407,370.13,370.89,367.39,367.54,0
20110408,368.31,369.16,366.1,366.21,0
